cable_id,core_no,tube_colour,core_colour,status,start_tray,start_port,end_tray,end_port,fed_by_cable,fed_by_core
CBL-0100,1,Blue,Blue,Used,1,1,1,1,,
CBL-0100,2,Blue,Orange,Used,1,2,1,2,,
CBL-0100,3,Blue,Green,Used,1,3,1,3,,
CBL-0100,4,Blue,Brown,Free,,,,,,
CBL-0100,5,Blue,Slate,Free,,,,,,
CBL-0100,6,Blue,Red,Free,,,,,,
CBL-0100,7,Orange,Blue,Free,,,,,,
CBL-0100,8,Orange,Orange,Free,,,,,,
CBL-0100,9,Orange,Green,Free,,,,,,
CBL-0100,10,Orange,Brown,Free,,,,,,
CBL-0100,11,Orange,Slate,Free,,,,,,
CBL-0100,12,Orange,Red,Free,,,,,,
CBL-0110,1,Blue,Blue,Used,1,4,1,1,,
CBL-0110,2,Blue,Orange,Used,1,5,1,2,,
CBL-0110,3,Blue,Green,Used,1,6,1,3,,
CBL-0110,4,Blue,Brown,Used,1,7,1,4,,
CBL-0110,5,Blue,Slate,Used,1,8,1,5,,
CBL-0110,6,Blue,Red,Used,1,9,1,6,,
CBL-0110,7,Orange,Blue,Used,1,10,1,7,,
CBL-0110,8,Orange,Orange,Used,1,11,1,8,,
CBL-0110,9,Orange,Green,Used,1,12,1,9,,
CBL-0110,10,Orange,Brown,Used,2,1,1,10,,
CBL-0110,11,Orange,Slate,Used,2,2,2,1,,
CBL-0110,12,Orange,Red,Used,2,3,2,2,,
CBL-0110,13,Green,Blue,Used,2,4,2,3,,
CBL-0110,14,Green,Orange,Used,2,5,2,4,,
CBL-0110,15,Green,Green,Used,2,6,2,5,,
CBL-0110,16,Green,Brown,Used,2,7,2,6,,
CBL-0110,17,Green,Slate,Used,2,8,2,7,,
CBL-0110,18,Green,Red,Free,,,,,,
CBL-0110,19,Brown,Blue,Free,,,,,,
CBL-0110,20,Brown,Orange,Free,,,,,,
CBL-0110,21,Brown,Green,Free,,,,,,
CBL-0110,22,Brown,Brown,Free,,,,,,
CBL-0110,23,Brown,Slate,Free,,,,,,
CBL-0110,24,Brown,Red,Free,,,,,,
CBL-0200,1,Blue,Blue,Used,1,4,,IN,CBL-0100,1
CBL-0200,2,Blue,Orange,Free,,,,,,
CBL-0200,3,Blue,Green,Free,,,,,,
CBL-0200,4,Blue,Brown,Free,,,,,,
CBL-0200,5,Blue,Slate,Free,,,,,,
CBL-0200,6,Blue,Red,Free,,,,,,
CBL-0200,7,Orange,Blue,Free,,,,,,
CBL-0200,8,Orange,Orange,Free,,,,,,
CBL-0200,9,Orange,Green,Free,,,,,,
CBL-0200,10,Orange,Brown,Free,,,,,,
CBL-0200,11,Orange,Slate,Free,,,,,,
CBL-0200,12,Orange,Red,Free,,,,,,
CBL-0230,1,Blue,Blue,Used,1,6,,IN,CBL-0100,3
CBL-0230,2,Blue,Orange,Free,,,,,,
CBL-0230,3,Blue,Green,Free,,,,,,
CBL-0230,4,Blue,Brown,Free,,,,,,
CBL-0230,5,Blue,Slate,Free,,,,,,
CBL-0230,6,Blue,Red,Free,,,,,,
CBL-0230,7,Orange,Blue,Free,,,,,,
CBL-0230,8,Orange,Orange,Free,,,,,,
CBL-0230,9,Orange,Green,Free,,,,,,
CBL-0230,10,Orange,Brown,Free,,,,,,
CBL-0230,11,Orange,Slate,Free,,,,,,
CBL-0230,12,Orange,Red,Free,,,,,,
CBL-0300,1,Blue,Blue,Used,1,5,1,1,CBL-0100,2
CBL-0300,2,Blue,Orange,Free,,,,,,
CBL-0300,3,Blue,Green,Free,,,,,,
CBL-0300,4,Blue,Brown,Free,,,,,,
CBL-0300,5,Blue,Slate,Free,,,,,,
CBL-0300,6,Blue,Red,Free,,,,,,
CBL-0300,7,Orange,Blue,Free,,,,,,
CBL-0300,8,Orange,Orange,Free,,,,,,
CBL-0300,9,Orange,Green,Free,,,,,,
CBL-0300,10,Orange,Brown,Free,,,,,,
CBL-0300,11,Orange,Slate,Free,,,,,,
CBL-0300,12,Orange,Red,Free,,,,,,
CBL-0310,1,Blue,Blue,Used,1,2,,IN,CBL-0300,1
CBL-0310,2,Blue,Orange,Free,,,,,,
CBL-0310,3,Blue,Green,Free,,,,,,
CBL-0310,4,Blue,Brown,Free,,,,,,
CBL-0310,5,Blue,Slate,Free,,,,,,
CBL-0310,6,Blue,Red,Free,,,,,,
CBL-0310,7,Orange,Blue,Free,,,,,,
CBL-0310,8,Orange,Orange,Free,,,,,,
CBL-0310,9,Orange,Green,Free,,,,,,
CBL-0310,10,Orange,Brown,Free,,,,,,
CBL-0310,11,Orange,Slate,Free,,,,,,
CBL-0310,12,Orange,Red,Free,,,,,,
